full_name,type,state,district,twitter_url,bioguide_id
Nikema Williams,rep,GA,5,https://twitter.com/NikemaWilliams,W000788
Lucy McBath,rep,GA,6,https://twitter.com/lucymcbath,M001208
Carolyn Bourdeaux,rep,GA,7,https://twitter.com/Carolyn4GA7,B001312
Austin Scott,rep,GA,8,https://twitter.com/AustinScott4GA,S001189
Andrew S. Clyde,rep,GA,9,NaN,C001116
Jody B. Hice,rep,GA,10,https://twitter.com/JodyHice,H001071
Barry Loudermilk,rep,GA,11,https://twitter.com/standwithbarry,L000583
Rick W. Allen,rep,GA,12,https://twitter.com/rickallen,A000372
David Scott,rep,GA,13,NaN,S001157
Marjorie Taylor Greene,rep,GA,14,https://twitter.com/mtgreenee,G000596
Michael F. Q. San Nicolas,rep,GU,0,NaN,S001204
Ed Case,rep,HI,1,https://twitter.com/EdCaseHawaii,C001055
Kaiali’i Kahele,rep,HI,2,https://twitter.com/kaikahele,K000396
Ashley Hinson,rep,IA,1,https://twitter.com/hinsonashley,H001091
Mariannette Miller-Meeks,rep,IA,2,https://twitter.com/millermeeks,M001215
Cynthia Axne,rep,IA,3,https://twitter.com/Axne4Congress,A000378
Randy Feenstra,rep,IA,4,https://twitter.com/RandyFeenstra,F000446
Russ Fulcher,rep,ID,1,https://twitter.com/RussFulcher,F000469
Michael K. Simpson,rep,ID,2,https://twitter.com/MikeSimpson4ID,S001148
Bobby L. Rush,rep,IL,1,https://twitter.com/bobbyrushfor1st,R000515
Robin L. Kelly,rep,IL,2,https://twitter.com/RobinLynneKelly,K000385
Marie Newman,rep,IL,3,https://twitter.com/Marie4Congress,N000192
"Jesús G. ""Chuy"" García",rep,IL,4,https://twitter.com/ChuyForCongress,G000586
Mike Quigley,rep,IL,5,NaN,Q000023
Sean Casten,rep,IL,6,https://twitter.com/SeanCasten,C001117
Danny K. Davis,rep,IL,7,https://twitter.com/DannyKDavis7th,D000096
Raja Krishnamoorthi,rep,IL,8,https://twitter.com/RajaForCongress,K000391
Janice D. Schakowsky,rep,IL,9,https://twitter.com/RepSchakowsky,S001145
Bradley Scott Schneider,rep,IL,10,https://twitter.com/Schneider4IL10,S001190
Bill Foster,rep,IL,11,https://twitter.com/Foster4Congress,F000454
Mike Bost,rep,IL,12,https://twitter.com/BostForCongress,B001295
Rodney Davis,rep,IL,13,https://twitter.com/ElectRodney,D000619
Lauren Underwood,rep,IL,14,https://twitter.com/LaurenUnderwood,U000040
Mary E. Miller,rep,IL,15,https://twitter.com/Miller_Congress,M001211
Adam Kinzinger,rep,IL,16,https://twitter.com/AdamKinzinger,K000378
Cheri Bustos,rep,IL,17,https://twitter.com/CheriBustos,B001286
Darin LaHood,rep,IL,18,https://twitter.com/ElectLaHood,L000585
Frank J. Mrvan,rep,IN,1,https://twitter.com/mrvan4congress,M001214
Jackie Walorski,rep,IN,2,https://twitter.com/jackiewalorski,W000813
Jim Banks,rep,IN,3,https://twitter.com/Jim_Banks,B001299
James R. Baird,rep,IN,4,NaN,B001307
Victoria Spartz,rep,IN,5,https://twitter.com/Victoria_Spartz,S000929
Greg Pence,rep,IN,6,https://twitter.com/GregPenceIN,P000615
André Carson,rep,IN,7,https://twitter.com/Andre4Congress,C001072
Larry Bucshon,rep,IN,8,https://twitter.com/DrLarryBucshon,B001275
Trey Hollingsworth,rep,IN,9,https://twitter.com/VoteForTrey,H001074
Tracey Mann,rep,KS,1,https://twitter.com/TraceyMannKS,M000871
Jake LaTurner,rep,KS,2,https://twitter.com/JakeLaTurner,L000266
Sharice Davids,rep,KS,3,https://twitter.com/sharicedavids,D000629
Ron Estes,rep,KS,4,https://twitter.com/RonEstesKS,E000298
James Comer,rep,KY,1,https://twitter.com/JamesComer,C001108
Brett Guthrie,rep,KY,2,https://twitter.com/brettguthrie,G000558
John A. Yarmuth,rep,KY,3,NaN,Y000062
Thomas Massie,rep,KY,4,https://twitter.com/MassieforKY,M001184
Harold Rogers,rep,KY,5,https://twitter.com/HalRogersKY5,R000395
Andy Barr,rep,KY,6,https://twitter.com/barrforcongress,B001282
Steve Scalise,rep,LA,1,https://twitter.com/SteveScaliseGOP,S001176
Clay Higgins,rep,LA,3,https://twitter.com/CaptClayHiggins,H001077
Mike Johnson,rep,LA,4,https://twitter.com/MikeJohnson,J000299
Garret Graves,rep,LA,6,https://twitter.com/garretgraves,G000577
Richard E. Neal,rep,MA,1,https://twitter.com/NealForCongress,N000015
James P. McGovern,rep,MA,2,https://twitter.com/McGovernMA,M000312
Lori Trahan,rep,MA,3,https://twitter.com/LoriTrahanMA,T000482
Jake Auchincloss,rep,MA,4,https://twitter.com/JakeAuch,A000148
Katherine M. Clark,rep,MA,5,https://twitter.com/KatherineClark,C001101
Seth Moulton,rep,MA,6,https://twitter.com/sethmoulton,M001196
Ayanna Pressley,rep,MA,7,https://twitter.com/AyannaPressley,P000617
Stephen F. Lynch,rep,MA,8,https://twitter.com/RepLynch,L000562
William R. Keating,rep,MA,9,https://twitter.com/WilliamKeating,K000375
Andy Harris,rep,MD,1,https://twitter.com/Harris4Congress,H001052
C. A. Dutch Ruppersberger,rep,MD,2,https://twitter.com/GoDutchForMD,R000576
John P. Sarbanes,rep,MD,3,https://twitter.com/JohnSarbanes,S001168
Anthony Brown,rep,MD,4,https://twitter.com/AnthonyBrownMD4,B001304
Steny H. Hoyer,rep,MD,5,https://twitter.com/StenyHoyer,H000874
David J. Trone,rep,MD,6,https://twitter.com/davidjtrone,T000483
Kweisi Mfume,rep,MD,7,https://twitter.com/Mfume4Congress,M000687
Jamie Raskin,rep,MD,8,https://twitter.com/jamie_raskin,R000606
Chellie Pingree,rep,ME,1,https://twitter.com/PingreeForME,P000597
Jared F. Golden,rep,ME,2,https://twitter.com/golden4congress,G000592
Jack Bergman,rep,MI,1,https://twitter.com/JackBergman_MI1,B001301
Bill Huizenga,rep,MI,2,https://twitter.com/billhuizenga,H001058
Peter Meijer,rep,MI,3,https://twitter.com/VoteMeijer,M001186
John R. Moolenaar,rep,MI,4,https://twitter.com/JohnMoolenaar,M001194
Daniel T. Kildee,rep,MI,5,https://twitter.com/dankildee,K000380
Fred Upton,rep,MI,6,https://twitter.com/UptonForAllOfUs,U000031
Tim Walberg,rep,MI,7,https://twitter.com/TimWalberg,W000798
Elissa Slotkin,rep,MI,8,https://twitter.com/ElissaSlotkin,S001208
Andy Levin,rep,MI,9,https://twitter.com/Andy_Levin,L000592
Lisa C. McClain,rep,MI,10,https://twitter.com/LisaForCongress,M001136
Haley M. Stevens,rep,MI,11,https://twitter.com/HaleyLive,S001215
Debbie Dingell,rep,MI,12,https://twitter.com/DebDingell,D000624
Rashida Tlaib,rep,MI,13,https://twitter.com/RashidaTlaib,T000481
Brenda L. Lawrence,rep,MI,14,https://twitter.com/BrendaLLawrence,L000581
Jim Hagedorn,rep,MN,1,https://twitter.com/JimHagedornMN,H001088
Angie Craig,rep,MN,2,https://twitter.com/AngieCraigMN,C001119
Dean Phillips,rep,MN,3,https://twitter.com/deanbphillips,P000616
Betty McCollum,rep,MN,4,https://twitter.com/VoteBetty,M001143
Ilhan Omar,rep,MN,5,https://twitter.com/IlhanMN,O000173
Tom Emmer,rep,MN,6,https://twitter.com/tomemmer,E000294
Michelle Fischbach,rep,MN,7,https://twitter.com/FischbachMN7,F000470
Pete Stauber,rep,MN,8,https://twitter.com/PeteStauber,S001212
Cori Bush,rep,MO,1,https://twitter.com/CoriBush,B001224
Ann Wagner,rep,MO,2,https://twitter.com/AnnLWagner,W000812
Blaine Luetkemeyer,rep,MO,3,https://twitter.com/LuetkemeyerB,L000569
Vicky Hartzler,rep,MO,4,https://twitter.com/VickyH4Congress,H001053
Emanuel Cleaver,rep,MO,5,https://twitter.com/Vote4Cleaver,C001061
Sam Graves,rep,MO,6,NaN,G000546
Billy Long,rep,MO,7,https://twitter.com/auctnr1,L000576
Jason Smith,rep,MO,8,https://twitter.com/JasonSmithMO,S001195
Gregorio Kilili Camacho Sablan,rep,MP,0,NaN,S001177
Trent Kelly,rep,MS,1,https://twitter.com/KellyforMS01,K000388
Bennie G. Thompson,rep,MS,2,https://twitter.com/BGThompsonMS,T000193
Michael Guest,rep,MS,3,https://twitter.com/GuestCongress,G000591
Steven M. Palazzo,rep,MS,4,https://twitter.com/StevenPalazzo,P000601
Matthew M. Rosendale,rep,MT,0,https://twitter.com/MattForMontana,R000103
G. K. Butterfield,rep,NC,1,NaN,B001251
Deborah K. Ross,rep,NC,2,https://twitter.com/DeborahRossNC,R000305
Gregory F. Murphy,rep,NC,3,https://twitter.com/GregMurphyMD,M001210
David E. Price,rep,NC,4,NaN,P000523
Virginia Foxx,rep,NC,5,https://twitter.com/foxxforcongress,F000450
Kathy E. Manning,rep,NC,6,https://twitter.com/KathyManningNC,M001135
David Rouzer,rep,NC,7,https://twitter.com/DavidRouzer,R000603
Richard Hudson,rep,NC,8,https://twitter.com/RichHudson,H001067
Dan Bishop,rep,NC,9,https://twitter.com/jdanbishop,B001311
Patrick T. McHenry,rep,NC,10,https://twitter.com/McHenryCampaign,M001156
Madison Cawthorn,rep,NC,11,https://twitter.com/CawthornforNC,C001104
Alma S. Adams,rep,NC,12,https://twitter.com/AlmaforCongress,A000370
Ted Budd,rep,NC,13,https://twitter.com/buddforcongress,B001305
Kelly Armstrong,rep,ND,0,https://twitter.com/Armstrong_ND,A000377
Jeff Fortenberry,rep,NE,1,https://twitter.com/supportfortNE,F000449
Don Bacon,rep,NE,2,https://twitter.com/DonJBacon,B001298
Adrian Smith,rep,NE,3,NaN,S001172
Chris Pappas,rep,NH,1,https://twitter.com/ChrisPappasNH,P000614
Ann Kuster,rep,NH,2,https://twitter.com/AnnMcLaneKuster,K000382
Donald Norcross,rep,NJ,1,https://twitter.com/DonNorcross4NJ,N000188
Jefferson Van Drew,rep,NJ,2,NaN,V000133
Andy Kim,rep,NJ,3,https://twitter.com/AndyKimNJ,K000394
Christopher H. Smith,rep,NJ,4,NaN,S000522
Josh Gottheimer,rep,NJ,5,https://twitter.com/JoshGottheimer,G000583
"Frank Pallone, Jr.",rep,NJ,6,https://twitter.com/pallonefornj,P000034
Tom Malinowski,rep,NJ,7,https://twitter.com/Malinowski,M001203
Albio Sires,rep,NJ,8,https://twitter.com/AlbioSiresNJ,S001165
"Bill Pascrell, Jr.",rep,NJ,9,https://twitter.com/PascrellforNJ,P000096
"Donald M. Payne, Jr.",rep,NJ,10,NaN,P000604
Mikie Sherrill,rep,NJ,11,https://twitter.com/MikieSherrill,S001207
Bonnie Watson Coleman,rep,NJ,12,https://twitter.com/Bonnie4Congress,W000822
Debra A. Haaland,rep,NM,1,https://twitter.com/DebHaalandNM,H001080
Yvette Herrell,rep,NM,2,https://twitter.com/Yvette4congress,H001084
Teresa Leger Fernandez,rep,NM,3,https://twitter.com/TeresaForNM,L000273
Dina Titus,rep,NV,1,https://twitter.com/dinatitus,T000468
Mark E. Amodei,rep,NV,2,https://twitter.com/AmodeiForNevada,A000369
Susie Lee,rep,NV,3,https://twitter.com/SusieLeeNV,L000590
Steven Horsford,rep,NV,4,https://twitter.com/StevenHorsford,H001066
Lee M. Zeldin,rep,NY,1,https://twitter.com/leezeldin,Z000017
Andrew R. Garbarino,rep,NY,2,https://twitter.com/GarbarinoforNY,G000597
Thomas R. Suozzi,rep,NY,3,https://twitter.com/Tom_Suozzi,S001201
Kathleen M. Rice,rep,NY,4,https://twitter.com/KathleenRice,R000602
Gregory W. Meeks,rep,NY,5,https://twitter.com/GregMeeksNYC,M001137
Grace Meng,rep,NY,6,https://twitter.com/Grace4NY,M001188
Nydia M. Velázquez,rep,NY,7,https://twitter.com/ReElectNydia,V000081
Hakeem S. Jeffries,rep,NY,8,https://twitter.com/hakeemjeffries,J000294
